account_num,net_change,tag,tag_depth,cik
597,10855000.0,GeneralAndAdministrativeExpense,2,886163_LIGAND PHARMACEUTICALS INC
232,-12256000.0,GrossProfit,1,886163_LIGAND PHARMACEUTICALS INC
3917,-811076000.0,LiabilitiesAndStockholdersEquity,2,886163_LIGAND PHARMACEUTICALS INC
3260,-646317000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,886163_LIGAND PHARMACEUTICALS INC
3316,-646317000.0,StockholdersEquity,1,886163_LIGAND PHARMACEUTICALS INC
3834,-492811000.0,RetainedEarningsAccumulatedDeficit,1,886163_LIGAND PHARMACEUTICALS INC
3750,-154424000.0,AdditionalPaidInCapital,1,886163_LIGAND PHARMACEUTICALS INC
3661,-17000.0,CommonStockValue,3,886163_LIGAND PHARMACEUTICALS INC
3465,-164759000.0,Liabilities,1,886163_LIGAND PHARMACEUTICALS INC
3645,-63054000.0,LiabilitiesNoncurrent,2,886163_LIGAND PHARMACEUTICALS INC
3796,-63054000.0,LiabilitiesOtherThanLongtermDebtNoncurrent,3,886163_LIGAND PHARMACEUTICALS INC
3379,-11183000.0,OperatingLeaseLiabilityNoncurrent,3,886163_LIGAND PHARMACEUTICALS INC
3154,-98929000.0,LiabilitiesCurrent,2,886163_LIGAND PHARMACEUTICALS INC
2638,-76833000.0,DebtCurrent,2,886163_LIGAND PHARMACEUTICALS INC
2737,-76833000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,3,886163_LIGAND PHARMACEUTICALS INC
2809,-43000.0,FinanceLeaseLiabilityCurrent,3,886163_LIGAND PHARMACEUTICALS INC
2347,-21112000.0,AccountsPayableAndAccruedLiabilitiesCurrent,3,886163_LIGAND PHARMACEUTICALS INC
2398,-6135000.0,AccountsPayableCurrent,2,886163_LIGAND PHARMACEUTICALS INC
2089,811076000.0,Assets,1,886163_LIGAND PHARMACEUTICALS INC
2091,472450000.0,AssetsNoncurrent,2,886163_LIGAND PHARMACEUTICALS INC
2041,4634000.0,OtherAssetsNoncurrent,2,886163_LIGAND PHARMACEUTICALS INC
1827,439589000.0,IntangibleAssetsNetIncludingGoodwill,2,886163_LIGAND PHARMACEUTICALS INC
1732,333916000.0,IntangibleAssetsNetExcludingGoodwill,2,886163_LIGAND PHARMACEUTICALS INC
645,88728000.0,CashAndCashEquivalentsAtCarryingValue,3,886163_LIGAND PHARMACEUTICALS INC
577,282665000.0,CashCashEquivalentsAndShortTermInvestments,4,886163_LIGAND PHARMACEUTICALS INC
229,29188000.0,AccountsReceivableNetCurrent,3,886163_LIGAND PHARMACEUTICALS INC
207,29188000.0,AccountsNotesAndLoansReceivableNetCurrent,4,886163_LIGAND PHARMACEUTICALS INC
320,29188000.0,ReceivablesNetCurrent,3,886163_LIGAND PHARMACEUTICALS INC
455,14011000.0,InventoryNet,2,886163_LIGAND PHARMACEUTICALS INC
260,14011000.0,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,4,886163_LIGAND PHARMACEUTICALS INC
868,328195000.0,AssetsCurrent,2,886163_LIGAND PHARMACEUTICALS INC
1634,11666000.0,OperatingLeaseRightOfUseAsset,2,886163_LIGAND PHARMACEUTICALS INC
601,10855000.0,SellingGeneralAndAdministrativeExpense,3,886163_LIGAND PHARMACEUTICALS INC
1112,40629000.0,OperatingExpenses,1,886163_LIGAND PHARMACEUTICALS INC
1264,-14205000.0,OperatingIncomeLoss,1,886163_LIGAND PHARMACEUTICALS INC
1340,-1435000.0,InvestmentIncomeInterest,2,886163_LIGAND PHARMACEUTICALS INC
491,6663000.0,ResearchAndDevelopmentExpense,2,886163_LIGAND PHARMACEUTICALS INC
144,12256000.0,CostOfRevenue,1,886163_LIGAND PHARMACEUTICALS INC
171,12256000.0,CostOfGoodsAndServicesSold,2,886163_LIGAND PHARMACEUTICALS INC
162,3717000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,6,886163_LIGAND PHARMACEUTICALS INC
3809,-935000.0,AccumulatedOtherComprehensiveIncomeLossNetOfTax,2,886163_LIGAND PHARMACEUTICALS INC
3494,-21861000.0,OtherLiabilitiesNoncurrent,2,886163_LIGAND PHARMACEUTICALS INC
3383,-30010000.0,DeferredIncomeTaxLiabilitiesNet,2,886163_LIGAND PHARMACEUTICALS INC
2552,-14977000.0,AccruedLiabilitiesCurrent,2,886163_LIGAND PHARMACEUTICALS INC
1901,875000.0,DeferredIncomeTaxAssetsNet,2,886163_LIGAND PHARMACEUTICALS INC
281,193937000.0,ShortTermInvestments,1,886163_LIGAND PHARMACEUTICALS INC
2716,-76790000.0,LongTermDebtCurrent,2,886163_LIGAND PHARMACEUTICALS INC
2903,-41949000.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,886163_LIGAND PHARMACEUTICALS INC
2590,-41949000.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,886163_LIGAND PHARMACEUTICALS INC
1912,-41949000.0,NetIncomeLoss,1,886163_LIGAND PHARMACEUTICALS INC
