account_num,net_change,tag,tag_depth,cik
281,3082990.0,ShortTermInvestments,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2716,-1449864.0,LongTermDebtCurrent,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3379,-537447.0,OperatingLeaseLiabilityNoncurrent,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3645,-537447.0,LiabilitiesNoncurrent,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3154,-12609790.0,LiabilitiesCurrent,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3465,-12609790.0,Liabilities,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2903,-23738837.0,NetIncomeLossAvailableToCommonStockholdersDiluted,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3661,-14731.0,CommonStockValue,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1626,2261787.0,LongTermInvestments,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2590,-23738837.0,NetIncomeLossAvailableToCommonStockholdersBasic,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
207,32101818.0,AccountsNotesAndLoansReceivableNetCurrent,4,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2638,-1449864.0,DebtCurrent,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1549,4131313.0,RestrictedCashAndCashEquivalentsAtCarryingValue,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1079,4131313.0,RestrictedCashCurrent,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
577,9762067.0,CashCashEquivalentsAndShortTermInvestments,4,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
645,6679077.0,CashAndCashEquivalentsAtCarryingValue,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2257,-23738837.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2149,-24397129.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
2130,-329146.0,NonoperatingIncomeExpense,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1264,-24067983.0,OperatingIncomeLoss,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1112,24036140.0,OperatingExpenses,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
1002,-641067.0,GainLossOnDispositionOfAssets1,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
961,-1275.0,GainLossOnSaleOfPropertyPlantEquipment,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
692,20460667.0,ProvisionForDoubtfulAccounts,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
601,2811215.0,SellingGeneralAndAdministrativeExpense,3,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
232,-31843.0,GrossProfit,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3917,-58046415.0,LiabilitiesAndStockholdersEquity,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3260,-45436625.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3316,-45436625.0,StockholdersEquity,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
3834,-33718654.0,RetainedEarningsAccumulatedDeficit,1,1811216_BAOSHENG MEDIA GROUP HOLDINGS LTD
