cik,name,sic4,sic1,sic2,sic3,countryba,bas1
"2178_ADAMS RESOURCES & ENERGY, INC.","ADAMS RESOURCES & ENERGY, INC.",5172,50,51,517,US,17 S. BRIAR HOLLOW LN.
2488_ADVANCED MICRO DEVICES INC,ADVANCED MICRO DEVICES INC,3674,20,36,367,US,2485 AUGUSTINE DRIVE
"2969_AIR PRODUCTS & CHEMICALS, INC.","AIR PRODUCTS & CHEMICALS, INC.",2810,20,28,281,US,1940 AIR PRODUCTS BLVD.
3499_ALEXANDERS INC,ALEXANDERS INC,6798,60,67,679,US,210 ROUTE 4 EAST
3570_CHENIERE ENERGY INC,CHENIERE ENERGY INC,4924,40,49,492,US,700 MILAM ST.
4127_SKYWORKS SOLUTIONS INC,SKYWORKS SOLUTIONS INC,3674,20,36,367,US,5260 CALIFORNIA AVENUE
4281_HOWMET AEROSPACE INC.,HOWMET AEROSPACE INC.,3350,20,33,335,US,201 ISABELLA STREET
4457_U-HAUL HOLDING CO /NV/,U-HAUL HOLDING CO /NV/,7510,70,75,751,US,5555 KIETZKE LANE STE 100
4904_AMERICAN ELECTRIC POWER CO INC,AMERICAN ELECTRIC POWER CO INC,4911,40,49,491,US,1 RIVERSIDE PLAZA
4962_AMERICAN EXPRESS CO,AMERICAN EXPRESS CO,6199,60,61,619,US,200 VESEY STREET
4977_AFLAC INC,AFLAC INC,6321,60,63,632,US,1932 WYNNTON RD
"5272_AMERICAN INTERNATIONAL GROUP, INC.","AMERICAN INTERNATIONAL GROUP, INC.",6331,60,63,633,US,1271 AVE OF THE AMERICAS
5513_UNUM GROUP,UNUM GROUP,6321,60,63,632,US,1 FOUNTAIN SQUARE
6201_AMERICAN AIRLINES GROUP INC.,AMERICAN AIRLINES GROUP INC.,4512,40,45,451,US,1 SKYVIEW DRIVE
6281_ANALOG DEVICES INC,ANALOG DEVICES INC,3674,20,36,367,US,ONE ANALOG WAY
"6845_APOGEE ENTERPRISES, INC.","APOGEE ENTERPRISES, INC.",3231,20,32,323,US,4400 WEST 78TH STREET
6951_APPLIED MATERIALS INC /DE,APPLIED MATERIALS INC /DE,3674,20,36,367,US,3050 BOWERS AVE
6955_ENERPAC TOOL GROUP CORP,ENERPAC TOOL GROUP CORP,3590,20,35,359,US,ATTN:  BRYAN JOHNSON
7084_ARCHER-DANIELS-MIDLAND CO,ARCHER-DANIELS-MIDLAND CO,2070,20,20,207,US,77 W. WACKER DR.
7332_SOUTHWESTERN ENERGY CO,SOUTHWESTERN ENERGY CO,1311,10,13,131,US,10000 ENERGY DRIVE
7789_ASSOCIATED BANC-CORP,ASSOCIATED BANC-CORP,6022,60,60,602,US,433 MAIN STREET
8063_ASTRONICS CORP,ASTRONICS CORP,3728,20,37,372,US,130 COMMERCE WAY
8670_AUTOMATIC DATA PROCESSING INC,AUTOMATIC DATA PROCESSING INC,7374,70,73,737,US,ONE ADP BOULVARD
8818_AVERY DENNISON CORP,AVERY DENNISON CORP,2670,20,26,267,US,8080 NORTON PARKWAY
8858_AVNET INC,AVNET INC,5065,50,50,506,US,2211 SOUTH 47TH STREET
8868_AVON PRODUCTS INC,AVON PRODUCTS INC,2844,20,28,284,US,1 AVON PLACE
8947_AZZ INC,AZZ INC,3470,20,34,347,US,"ONE MUSEUM PLACE, SUITE 500"
9389_BALL CORP,BALL CORP,3411,20,34,341,US,9200 W. 108TH CIRCLE
9984_BARNES GROUP INC,BARNES GROUP INC,3490,20,34,349,US,123 MAIN ST
10048_BARNWELL INDUSTRIES INC,BARNWELL INDUSTRIES INC,1311,10,13,131,US,1100 ALAKEA ST.
10254_EARTHSTONE ENERGY INC,EARTHSTONE ENERGY INC,1311,10,13,131,US,1400 WOODLOCH FOREST DRIVE
10795_BECTON DICKINSON & CO,BECTON DICKINSON & CO,3841,20,38,384,US,ONE BECTON DR
11544_BERKLEY W R CORP,BERKLEY W R CORP,6331,60,63,633,US,475 STEAMBOAT ROAD
"12208_BIO-RAD LABORATORIES, INC.","BIO-RAD LABORATORIES, INC.",3826,20,38,382,US,1000 ALFRED NOBEL DRIVE
12927_BOEING CO,BOEING CO,3721,20,37,372,US,929 LONG BRIDGE DRIVE
14272_BRISTOL MYERS SQUIBB CO,BRISTOL MYERS SQUIBB CO,2834,20,28,283,US,430 E. 29TH STREET
14693_BROWN FORMAN CORP,BROWN FORMAN CORP,2080,20,20,208,US,850 DIXIE HWY
14707_CALERES INC,CALERES INC,3140,20,31,314,US,8300 MARYLAND AVE
14846_BRT APARTMENTS CORP.,BRT APARTMENTS CORP.,6798,60,67,679,US,60 CUTTER MILL RD
14930_BRUNSWICK CORP,BRUNSWICK CORP,3510,20,35,351,US,26125 N. RIVERWOODS BLVD. SUITE 500
15615_MASTEC INC,MASTEC INC,1623,15,16,162,US,800 S. DOUGLAS ROAD
16058_CACI INTERNATIONAL INC /DE/,CACI INTERNATIONAL INC /DE/,7373,70,73,737,US,TWO RESTON OVERLOOK
16732_CAMPBELL SOUP CO,CAMPBELL SOUP CO,2000,20,20,200,US,CAMPBELL PL
16875_CANADIAN PACIFIC KANSAS CITY LTD/CN,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,40,40,401,CA,7550 OGDEN DALE ROAD S.E.
"16918_CONSTELLATION BRANDS, INC.","CONSTELLATION BRANDS, INC.",2080,20,20,208,US,207 HIGH POINT DRIVE
17843_CARPENTER TECHNOLOGY CORP,CARPENTER TECHNOLOGY CORP,3312,20,33,331,US,BNY MELLON BUILDING
18230_CATERPILLAR INC,CATERPILLAR INC,3531,20,35,353,US,5205 N. O'CONNOR BOULEVARD
18349_SYNOVUS FINANCIAL CORP,SYNOVUS FINANCIAL CORP,6021,60,60,602,US,1111 BAY AVENUE
"18926_LUMEN TECHNOLOGIES, INC.","LUMEN TECHNOLOGIES, INC.",4813,40,48,481,US,P O BOX 4065
19617_JPMORGAN CHASE & CO,JPMORGAN CHASE & CO,6021,60,60,602,US,383 MADISON AVENUE
20212_CHURCHILL DOWNS INC,CHURCHILL DOWNS INC,7948,70,79,794,US,600 N HURSTBOURNE PKWY
20286_CINCINNATI FINANCIAL CORP,CINCINNATI FINANCIAL CORP,6331,60,63,633,US,6200 S GILMORE RD
21076_CLOROX CO /DE/,CLOROX CO /DE/,2842,20,28,284,US,THE CLOROX COMPANY
21175_CNA FINANCIAL CORP,CNA FINANCIAL CORP,6331,60,63,633,US,CNA
21344_COCA COLA CO,COCA COLA CO,2080,20,20,208,US,ONE COCA COLA PLAZA
21665_COLGATE PALMOLIVE CO,COLGATE PALMOLIVE CO,2844,20,28,284,US,300 PARK AVE
22356_COMMERCE BANCSHARES INC /MO/,COMMERCE BANCSHARES INC /MO/,6022,60,60,602,US,1000 WALNUT
22444_COMMERCIAL METALS CO,COMMERCIAL METALS CO,3312,20,33,331,US,"6565 N. MACARTHUR BLVD., SUITE 800"
22701_PINEAPPLE ENERGY INC.,PINEAPPLE ENERGY INC.,3661,20,36,366,US,10900 RED CIRCLE DRIVE
23194_COMSTOCK RESOURCES INC,COMSTOCK RESOURCES INC,1311,10,13,131,US,5300 TOWN AND COUNTRY BLVD
23197_COMTECH TELECOMMUNICATIONS CORP /DE/,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,20,36,366,US,68 SOUTH SERVICE ROAD
"24090_CITIZENS, INC.","CITIZENS, INC.",6311,60,63,631,US,11815 ALTERRA PKWY
24545_MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE CO,2082,20,20,208,US,P.O. BOX 4030
25232_COUSINS PROPERTIES INC,COUSINS PROPERTIES INC,6798,60,67,679,US,"3344 PEACHTREE ROAD, NE"
26172_CUMMINS INC,CUMMINS INC,3510,20,35,351,US,500 JACKSON ST
26324_CURTISS WRIGHT CORP,CURTISS WRIGHT CORP,3590,20,35,359,US,130 HARBOUR PLACE DRIVE
27419_TARGET CORP,TARGET CORP,5331,52,53,533,US,1000 NICOLLET MALL
"27904_DELTA AIR LINES, INC.","DELTA AIR LINES, INC.",4512,40,45,451,US,HARTSFIELD-JACKSON ATLANTA INTL AIRPORT
27996_DELUXE CORP,DELUXE CORP,2780,20,27,278,US,801 S. MARQUETTE AVE.
28412_COMERICA INC /NEW/,COMERICA INC /NEW/,6021,60,60,602,US,1717 MAIN STREET MC6404
"28823_DIEBOLD NIXDORF, INC","DIEBOLD NIXDORF, INC",3578,20,35,357,US,50 EXECUTIVE PKWY
"28917_DILLARD'S, INC.","DILLARD'S, INC.",5311,52,53,531,US,1600 CANTRELL RD
29332_DIXIE GROUP INC,DIXIE GROUP INC,2273,20,22,227,US,PO BOX 2007
29644_DONALDSON CO INC,DONALDSON CO INC,3564,20,35,356,US,1400 W. 94TH ST.
29905_DOVER CORP,DOVER CORP,3530,20,35,353,US,3005 HIGHLAND PARKWAY
100790_UNION CARBIDE CORP /NEW/,UNION CARBIDE CORP /NEW/,2860,20,28,286,US,1254 ENCLAVE PARKWAY
29989_OMNICOM GROUP INC.,OMNICOM GROUP INC.,7311,70,73,731,US,280 PARK AVENUE
30625_FLOWSERVE CORP,FLOWSERVE CORP,3561,20,35,356,US,5215 N. O'CONNOR BLVD.
30697_WENDY'S CO,WENDY'S CO,5810,52,58,581,US,ONE DAVE THOMAS BLVD
31791_PERKINELMER INC,PERKINELMER INC,3826,20,38,382,US,940 WINTER STREET
"31791_REVVITY, INC.","REVVITY, INC.",3826,20,38,382,US,940 WINTER STREET
32604_EMERSON ELECTRIC CO,EMERSON ELECTRIC CO,3600,20,36,360,US,8000 W FLORISSANT AVE
33185_EQUIFAX INC,EQUIFAX INC,7320,70,73,732,US,1550 PEACHTREE ST NW
33213_EQT CORP,EQT CORP,1311,10,13,131,US,625 LIBERTY AVENUE
34067_DMC GLOBAL INC.,DMC GLOBAL INC.,3390,20,33,339,US,11800 RIDGE PARKWAY
34088_EXXON MOBIL CORP,EXXON MOBIL CORP,2911,20,29,291,US,5959 LAS COLINAS BLVD
34563_FARMER BROTHERS CO,FARMER BROTHERS CO,2090,20,20,209,US,1912 FARMER BROTHERS DRIVE
34782_1ST SOURCE CORP,1ST SOURCE CORP,6022,60,60,602,US,100 NORTH MICHIGAN STREET
34903_FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY INVESTMENT TRUST,6798,60,67,679,US,"909 ROSE AVENUE, SUITE 200"
35527_FIFTH THIRD BANCORP,FIFTH THIRD BANCORP,6022,60,60,602,US,38 FOUNTAIN SQ PLZ
36966_FIRST HORIZON CORP,FIRST HORIZON CORP,6021,60,60,602,US,165 MADISON AVENUE
37472_FLEXSTEEL INDUSTRIES INC,FLEXSTEEL INDUSTRIES INC,2510,20,25,251,US,385 BELL ST.
37785_FMC CORP,FMC CORP,2800,20,28,280,US,2929 WALNUT STREET
37808_FNB CORP/PA/,FNB CORP/PA/,6021,60,60,602,US,F.N.B. CORPORATION
37996_FORD MOTOR CO,FORD MOTOR CO,3711,20,37,371,US,ONE AMERICAN ROAD
38009_FORD MOTOR CREDIT CO LLC,FORD MOTOR CREDIT CO LLC,6159,60,61,615,US,ONE AMERICAN ROAD
38723_1ST FRANKLIN FINANCIAL CORP,1ST FRANKLIN FINANCIAL CORP,6141,60,61,614,US,135 E TUGALO ST
38725_FRANKLIN ELECTRIC CO INC,FRANKLIN ELECTRIC CO INC,3621,20,36,362,US,9255 COVERDALE ROAD
