sic3,count
602,937
737,908
283,372
679,296
384,272
738,267
367,251
603,200
633,181
131,177
491,175
382,144
366,135
581,134
631,129
371,120
493,118
492,109
357,103
874,85
356,83
481,81
286,79
138,79
820,75
641,65
619,63
736,62
451,61
550,61
369,61
470,59
421,58
441,54
483,54
208,53
362,53
701,52
353,52
799,50
621,47
873,47
494,45
495,45
372,45
628,44
611,44
394,43
282,42
650,41
280,40
800,40
331,40
484,39
632,39
731,39
355,39
807,39
790,36
281,35
160,35
596,35
399,34
284,33
140,33
653,32
514,32
473,32
308,32
806,30
335,30
200,30
489,30
122,30
590,30
251,29
358,29
541,28
504,27
351,26
809,26
291,26
289,26
344,25
162,25
170,24
805,24
781,23
750,23
376,23
512,23
591,22
342,22
599,22
271,22
440,22
209,22
735,21
381,21
211,21
506,21
203,21
359,20
509,20
314,20
720,20
230,20
348,20
364,20
515,19
808,18
636,18
265,18
363,18
560,17
361,17
461,17
503,17
354,17
505,16
801,16
620,16
732,16
553,16
349,16
287,16
206,16
365,16
508,16
651,16
783,16
386,15
517,15
871,15
635,14
207,14
352,14
360,13
201,13
520,13
252,13
533,13
385,12
521,12
734,12
100,12
310,12
639,12
173,12
482,12
452,11
267,11
733,11
262,11
275,11
594,11
346,10
516,10
500,10
379,9
204,9
751,9
570,9
375,9
152,9
240,9
513,8
285,8
700,8
571,8
490,8
374,8
302,8
540,8
760,8
609,8
339,8
243,8
221,8
278,8
232,8
387,8
347,8
343,8
333,8
306,7
501,7
104,7
573,7
273,6
153,6
562,6
391,6
327,5
655,5
329,5
373,5
499,5
299,5
870,4
565,4
253,4
154,4
794,4
205,4
336,4
518,4
210,4
227,4
234,4
242,4
222,4
890,4
507,4
341,4
301,4
276,4
321,4
614,4
401,4
615,4
245,4
326,3
835,3
677,3
511,3
616,2
531,2
784,2
322,1
328,1
519,1
323,1
